Feature ID,Feature Idea,Feature Group,Feature Group ID,Depends On,Phase,Feature Category,Conversion & Acquisition,Customer Experience,Operational Efficiency,Financial Visibility,Technical Foundation,Marketing Enablement,Search & Discovery Authority
FG-05.04,Proprietary delivery management system,Delivery & Fulfillment Visibility,FG-05,FG-05.04,3,,,x,x,,x,,
FG-05.05,Automated delivery delay notifications,Delivery & Fulfillment Visibility,FG-05,FG-05.04,3,,,x,x,,,,
FG-05.06,Order-by / receive-by visibility that updates in real time,Delivery & Fulfillment Visibility,FG-05,FG-09.01,2,,,x,x,,,,
FG-06.01,Statement visibility,Billing & Payments,FG-06,FG-09.01,2,,,x,,x,,,
FG-06.02,Self-service payment allocation to invoices,Billing & Payments,FG-06,FG-09.01,2,,,x,x,x,,,
FG-06.03,Downloadable invoices,Billing & Payments,FG-06,FG-09.01,3,,,x,x,x,,,
FG-06.04,Digital payment workflow for COD customers,Billing & Payments,FG-06,FG-09.01,3,,,x,x,x,,,
FG-06.05,Credit line visibility and management,Billing & Payments,FG-06,FG-08.03,2,,,x,,x,,,
FG-06.06,Spend and margin reporting tools,Billing & Payments,FG-06,FG-08.03,3,,,,x,x,,,
FG-07.01,Targeted digital promotions engine,Marketing & Promotions Engine,FG-07,,2,,x,x,,,,x,
FG-07.02,FSR scan-to-enroll tool,Marketing & Promotions Engine,FG-07,,2,,x,,x,,,x,
FG-07.03,QR codes on FSR marketing materials,Marketing & Promotions Engine,FG-07,,2,,x,,,,,x,
FG-07.04,Digital asset management platform,Marketing & Promotions Engine,FG-07,,3,,,,x,,,x,
FG-07.05,QR codes on product packaging,Marketing & Promotions Engine,FG-07,FG-07.04,3,,x,,,,,x,
FG-07.06,Franchise self-serve marketing portal,Marketing & Promotions Engine,FG-07,,2,,,,x,,,x,
FG-08.01,Knowledge base and concierge capture system,Internal Tools & Intelligence,FG-08,FG-08.03,3,,,,x,,x,,x
FG-08.02,Account health dashboard for internal teams,Internal Tools & Intelligence,FG-08,,2,,,,x,x,,,
FG-08.03,Session and user-level analytics implementation,Internal Tools & Intelligence,FG-08,FG-08.03,3,,,,x,,x,,
FG-08.04,Rep continuity record,Internal Tools & Intelligence,FG-08,,3,,,x,x,,,,
FG-09.01,GeneXus to modern accounting platform migration,Platform & Infrastructure,FG-09,,2,,,,x,x,x,,
FG-09.02,API-based frontend architecture,Platform & Infrastructure,FG-09,,3,,,,,,x,,
FG-09.03,Migration to DEWE,Platform & Infrastructure,FG-09,,1,,,,,,,,
